epoch,train_mse,val_mse,val_r2
263,28948328268117.332,148951967271.3846,-131708.23146804047
264,29412140857926.273,156278011273.84616,-137890.58131914164
265,28423316368203.293,154432786747.07693,-136483.90592817048
266,28199500184314.98,162936424605.53845,-143719.70671548168
267,27995768942310.902,164246055857.23077,-144936.79157224414
268,27809940103710.117,156519313880.6154,-138564.46190019805
269,27658573934200.47,170790161801.84616,-150656.87641935734
270,27400082537090.51,171137296068.92307,-151038.951875187
271,27204907059822.43,173095867155.69232,-152801.99882504565
272,27009499253117.49,171700117188.92307,-151813.1200168374
273,26819086921607.53,180370118183.3846,-159153.6263216797
274,26600103891064.47,180257048418.46155,-159137.47853719525
275,26448100823722.668,187630304649.84616,-165516.01543077134
276,26245625535126.59,190756467948.30768,-168252.41176702786
277,26031702774522.98,191043672851.69232,-168669.32957813246
278,25869476601921.254,197773617309.53845,-174472.40656581748
279,25691025170823.53,196276190916.92307,-173268.03202339093
280,25470672332866.51,202601704526.76923,-178735.69907805955
281,25264610182766.43,207752437760.0,-183208.21774873696
282,25088955094076.234,207078648910.76923,-182827.8883043406
283,24902570098406.902,208218594697.84616,-183990.67985022903
284,24737712047967.37,211826589696.0,-187047.1070769333
285,24553071597829.02,214754022321.23077,-189610.07606366117
286,24458855454338.51,216263354840.6154,-191151.2731820877
287,24193450183258.35,218208854646.15384,-192936.12952159575
288,24019157117409.883,230460010496.0,-203355.70336260696
289,23831332344852.08,226801461720.6154,-200506.89098741297
290,23643904787144.785,232567308288.0,-205473.02055631872
291,23491424494722.51,231543203682.46155,-204750.7857196595
292,23315277229397.332,238790153767.3846,-210951.82767450128
293,23127631571205.02,240664899584.0,-212667.20725622203
294,22978765305856.0,236691173691.07693,-209640.48655538866
295,22774014391979.92,240664970476.30768,-213055.75262731907
296,22655201940058.35,238169750291.69232,-211006.29431405145
297,22449729333007.06,250629778510.76923,-221633.36293021918
298,22295205496952.47,263381727389.53845,-232499.32655652767
299,22101786130356.523,261042233974.15384,-230729.82967296842
300,21951906577659.402,259718867101.53845,-229836.24479013533
301,21775837305394.195,262720818569.84616,-232590.31345723273
302,21642699682725.65,265440072310.15384,-234898.52107218135
303,21454397818879.61,276119937339.0769,-244031.37073305174
304,21338725665651.45,276405898633.8461,-244529.35774391834
305,21313051138810.98,270239399305.84616,-239722.52913756407
306,21022418753857.254,278897605710.7692,-246990.20998370225
307,20875598886289.57,271578932775.3846,-241154.59734329447
308,20682898784288.617,282874863931.0769,-250600.93623936977
309,20573560642088.156,273700786806.15384,-243111.65108037755
310,20404543386644.08,293795527758.7692,-260045.40117334956
311,20247545416724.08,296133653110.1539,-262202.54469281214
312,20142061559647.37,300423428568.61536,-266113.59532013786
313,19974473976229.65,300851490500.9231,-266504.7659554778
314,19852862575636.08,310036850530.46155,-274300.1687997865
315,19689502495683.766,304255044056.61536,-269765.3915086128
316,19570432549908.08,307676583463.38464,-272877.5596392422
317,19370759676353.5,309393721186.46155,-274453.25433502404
318,19286654176528.0,312555886434.46155,-277240.6155153898
319,19179650509281.883,317192280851.6923,-281128.9517194088
320,19016320224321.254,323215915795.6923,-286402.1400050489
321,18900373660892.863,344456556859.0769,-304403.1906689843
322,18750214731053.176,332173230080.0,-294461.51664541184
323,18632437632622.43,338284453257.8461,-299645.7425665512
324,18504491108793.727,342520690215.38464,-303289.284516406
325,18409227616296.156,331543478587.0769,-294281.88402111136
326,18261323448239.688,345943837144.61536,-306468.002106379
327,18140783246045.96,344724773651.6923,-305712.38247172965
328,18020319790256.63,350341457132.3077,-310470.5584339724
329,17869951143574.59,341703549558.1539,-303634.2586282016
330,17771149721597.273,349534299372.3077,-310280.54944059905
331,17687688908593.35,354894309848.61536,-315161.1636423146
332,17601522544596.785,337799320497.2308,-300963.15861466253
333,17653945137433.098,380290421051.0769,-336512.845435452
334,17330598664954.98,363930722934.1539,-323399.94284594274
335,17211898526356.52,372630176374.1539,-330463.4753952785
336,17104624603015.53,372177559552.0,-330365.318711096
337,17015954126928.314,371977174409.8461,-330390.04627646576
338,16887729897953.883,393868883495.38464,-348703.0676147637
339,16828566584731.607,376952221380.9231,-334841.2521709012
340,16711255177798.275,392569662542.7692,-347985.3638392736
341,16613878820482.51,390157117282.46155,-346171.7865660547
342,16464387760007.53,388605519084.3077,-345165.9487116789
343,16349931741013.049,394062324972.3077,-349739.62740005966
344,17272093023613.49,402420293001.8461,-356842.6391557152
345,17024077846166.588,398710790301.53845,-354124.76838547335
346,16154577270387.451,398531993600.0,-354338.5243000647
347,16029171844758.588,398460934931.6923,-354453.3946347598
348,15968684478745.098,401527590596.9231,-357176.0201714856
349,15811098011618.7,396109346973.53845,-353011.32281161175
350,15780252424131.766,412799930683.0769,-366707.09687531786
351,15726936142546.824,410982911684.9231,-365355.97756155283
352,15618608060743.656,408057883726.7692,-362987.31839705684
353,15541115974676.078,415598590109.53845,-369560.4324849835
